,tweet
247,ये जो नही दिख रहा है ना ये ही सिद्धू है जो अब फिर से दिख सकता है कपिल शर्मा के कॉमेडी शो में
248,एक नया माफी वीर है जो खुद को भगत सिंह बता रहा है। भाई हिसाब लगाओ कि कितने माफीनामे लिख चुके हो। पता चला तुम्हारे माफीनामे पूराने वाले से भी ज्यादा हो गए।
249,पंजाब चुनाव को अवसर मान रहा है पाकिस्तान सीमावर्ती राज्य में तोड़फोड़ करने के लिए पड़ोसी की नई साजिश
250,सिद्धू की जबरदस्त बेइज्जती हुई Copied from
251,आम आदमी पार्टीAAP उभरी कहां से हैं वह RSS से उभरी है। आम आदमी पार्टी के नेता खुद कहते हैं कि हम भाजपा से भी बड़े भाजपा है पंजाब के कोटकपूरा में प्रियंका गांधी वाड्रा
252,पराली के नाम पर पंजाब को बदनाम करने वालों को हराएगा पंजाब पंजाबियों के दुश्मनों को सबक सिखाने के लिए तैयार है पंजाब
253,अरविंद केजरीवाल पंजाब को भारत से अलग कर के उसका प्रधानमंत्री बनना चाहता है
254,जहां एक बार भाजपा के पैर जम जाते हैं वहाँ में बैठकर रिमोट कंट्रोल से सरकार चलाने वाले परिवार की छुट्टी हो जाती है मतलब जहां विकास आया वहाँ वंशवाद का हुआ सफाया यही विदाई इस बार पंजाब में भी देनी है प्रधानमंत्री
255,सीएम कैप्टन अमरिंदर सिंह ने किया दावा कांग्रेस प्रधान नवजोत सिद्धू पर लगाया आरोप सिद्धू को मंत्रिमंडल में शामिल करने की सिफारिश पाकिस्तान से आई
256,Zee Hindustan से बोले Punjab के Deputy Chief Minister OP Soni केजरीवाल कर रहे हैं जनता को गुमराह नहीं गलेगी दाल
257,पंजाब के सीएम चन्नी के खिलाफ मुखर हुआ विपक्ष मुख्तार अब्बास नकवी ने कहा कांग्रेस मानसिक दिवालियेपन का शिकार
258,पंजाब की देवतुल्य जनता से हाथ जोड़ कर अपील हैं चन्नी सिद्धू जैसे गद्दार और केजरीवाल जैसे आंतकवादी का बहिष्कार करे। केजरीवाल ने सही ही कहा फ्री का लालच देकर आतंकवाद को बढ़ावा देने वाला स्वीट आतंकवादी ही हो सकता है
259,पंजाब में हारे तो जिम्मेदार चन्नी होंगे पंजाब में कांग्रेस विधायक मदनलाल का बयान देखिए धाकड़ EXCLUSIVE के साथ
260,एक बलात्कारी सन्त बन जाता और उसे रिहाई दी जाती ऐन चुनाव के वक़्त। क्यों क्योंकि वो बाहर आकर अपने गुफ़ा के सन्तानों के लिए फ़रमान जारी करेगा कि जनता BJP को Voting करें । कोर्ट में न्याय हो रहा या एक दल विशेष के लिए सच्चा सौदा सोचनीय
261,Punjab election पंजाब चुनाव के दौरान सिद्धू की बहन ने खोले पारिवारिक विवाद के राज मां को कंगाली में छोड़ा
262,छोटा संघी फेकू फर्जीवाल
263,अपने पैर पर कुल्हाड़ी मारने वाले को शेखचिल्ली नही पप्पू पिंकी कहते हैं
264,पंजाब में भले ही कांग्रेस कैप्टन की सरकार थी लेकिन वो चल दिल्ली BJP दफ़्तर से रही थी।
265,बरनालाभदौड़ के लोग मुख्यमंत्री चुन रहे है बरनाला के लोग को विधायक बना देमंत्री मैं बनाऊंगा।
266,पंजाब में आम आदमी पार्टी पिछली बार से भी खराब प्रदर्शन करने जा रही है। सत्ता तो छोड़िए इस बार प्रमुख विपक्षी दल बनने के लाले पड़ जाएंगे।
267,चन्नी चुनाव और नलकूप का पानी
268,आप संयोजक और दिल्ली के मुख्यमंत्री अरविंद केजरीवाल ने आरोप लगाया कि पंजाब के मुख्यमंत्री चरणजीत सिंह चन्नी आम आदमी नहीं बेईमान आदमी हैं।
269,अगर से प्रधानमंत्री वहां जाते तो समय से पहुंच जाते और लोग होते तो क्या जवाब देते की जनता जानती है की का नफरत का है प्रवक्ता
270,जो अपनी माँ का नहीं हुआ वो किसका होगा
271,तरस आता है आपकी इतनी आत्ममुग्धता देख कर और किसी बात पे नही लेकिन कम से कम अपने पार्टी के CM चेहरे के लिए एक मौका मांग लेते वहा भी अकेले खुद का नाम लिख दिया पंजाब को सिरे से नकारेगा कांग्रेस को फिर एक बार स्विकारेगा
272,मोदी जी काले कानून लेकर आए साल तक किसान ठंड में खुले में कोरोना के समय खड़े रहे क्योंकि मोदी जी किसानों का हक कुछ पूंजीपतियों के हाथों में दे रहे थे। जी
273,सिंह सिद्धू तो बदलाव कितने सालों से कर रहे हैं। कोई सिद्धु प्रोग्राम लगाना चाहता है पता नहीं क्या प्रोग्राम है। कांग्रेस का पंजाब से सफाया होने वाला है पंजाब के पूर्व मुख्यमंत्री कैप्टन अमरिंदर सिंह
274,भगवतमान पार्षद का चुनाव तो जीत भी सकते और cm बनने के सपने देख रहें हैं
275,भक्तों के तो चीथड़े उड़ गए होंगे।
276,पंजाब की जनता ऐसे आदमी के हाथ में स्टेयरिंग कभी नहीं देगी जो उनकी गाड़ी को कहीं भी ठोक दे
277,यार ये बीजेपी वाले वोट मांग रहे है या नहीं
278,सब में डालो फूट मिलकर करो लूट
279,आम आदमी पार्टी को फ्लाइंग किस पसंद हैकेजरीवाल के फ्लाइंग किसर बने पंजाब के मुख्यमंत्री पद के दावेदार ।
280,राजनीति के नए पल्टूराम
281,कांग्रेस का दिया बुझने से पहले जोर से फड़फड़ा रहा है
282,CM चेहरे पर सिद्धू ने उड़ाया AAP का मजाक अरविंद केजरीवाल को पंजाब में दूल्हा नहीं मिल रहा बारात अकेले ही नाच रही है
283,कांग्रेस के सीएम चेहरे के एलान से पहले सिद्धू का सेल्फ गोल कहा अपने इशारे पर नाचने वाला सीएम चाहता है आलाकमान
284,तभी मैं सोचतीं थी बोलते वक्त इस बुगले की गर्दन ऊपर क्यों रहती है
285,साढ़े चार साल सरकार ने कोई काम नहीं किया और अंत में दलित वोट बैंक के लिए चरणजीत सिंह चन्नी को मुख्यमंत्री बना दिया इस बार के में किस तरफ हैं दलितों का रुझान देखिए और की रिपोर्ट
286,RT जो दिल्ली में एयर कन्डीशन में बैठे हैं उनको पता नहीं है ये प्यार की ताकत क्या है Liberals must see this love of Punjab for PM
287,भारत की राजनीति का सबसे मक्कार आदमी है मैं इसको जानता हूँ लेकिन इसकी पोल खोलने के लिए मंच की तलाश है
288,अगर पंजाब में AAP सरकार बनी तो वो दिल्ली से चलेगी
289,अरे यार किसी ने मुझे बताया नहीं कि पंजाब में CM Candidate का चेहरा Narendra Modi हैं भारत के प्रधानमंत्री के पद से इस्तीफा कब दे दिया इन्होंने
290,यूपीबिहार के भैया को पंजाब में मत घुसने दो वाले बयान पर चन्नी की सफाई कहा AAP के बारे में बोला था
291,कांग्रेस द्वारा CM चरणजीत चन्नी को भदौड़ से उतारे जाने पर क्या बोले आम आदमी पार्टी के प्रत्याशी लाभ सिंह उगोके देखें
292,Mr गुजरात मॉडल का नाम सुना होगा अब एक नया मॉडल आ गया है दिल्ली मॉडल। मोदी जी कहते थे एक मौका हमें दो अब केजरीवाल जी यहां आकर कहते हैं कि एक मौका हमें दो। भाइयों और बहनों इनके पीछे शक्ति एक ही है सोच एक ही है
293,यार ये क्या चीज़ है केजरीवाल कहाँ से ले आये आप दिल्लीवाले इसको
294,दिल्ली की हर गली में ठेके खोलने के एक्सपर्ट लोग पंजाब को नशा मुक्त करने की बात कर रहे हैं
295,सिद्धू की बहन सुमन तूर ने कहा में पिता की मौत के बाद सिद्धू ने अपनी बूढ़ी मां को बेसहारा छोड़ दिया। वो इधरउधर भटकती रहीं और बाद में में दिल्ली रेलवे स्टेशन पर एक बेसहारा निराश्रित महिला के तौर पर उनकी मौत हो गई।
296,सिस्टम को बदलना हैं पंजाबियों । बढचढकर अपने वोट कि ताकद दिखाकर बिकाऊविश्वासघातकि काॅंग्रेसियो और भाजपायियों को पंजाब कि राजनिती के आखाडे से बाहर फेंक दो
297,Mansoor Naqvi
298,भारत में लोकतंत्र को कोई खतरा नहीं हैन कभी होगालेकिन खतरा है अखिलेश की गुंडों की राजनीतिखतरा है केजरीवाल की मीठे आतंकवाद की राजनीतिखतरा है योगी की थार से रौंदने की राजनीति sonu sood
299,कैप्टन अमरिंदर बोले अवैध खनन में CM चन्नी हिस्सेदार सिद्धू भी निकम्मे भगवंत मान सिर्फ कॉमेडियन
300,मोदी मैं राष्ट्रवादी हूँ। केजरीवाल मैं स्वीट आतंकवादी हूँ।
301,पंजाब में लड़ाई झाड़ू व कृपाण की है जमीर की लड़ाई है पंजाबियों गुरु की दी हुई कृपाण उठाओ किसी संघी की झाड़ू नहीं जिंदाबाद किसानी
302,पंजाब रैली के दौरान Sidhu ने की CM केजरीवाल की मिमिक्री बोले सिर्फ साल से ऊपर की महिला को क्यों देगा क्योंकि वो वोट हैबाकी सब खोट है
303,पंजाब में बोले PM मोदी जहां एक बार BJP के पैर जम जाते हैं वहां दिल्ली में बैठकर रिमोट कंट्रोल से सरकार चलाने वाले परिवार की छुट्टी हो जाती है
304,अकाली दल से पंजाब के लोग नफरत करते हैं सुरजीत सिंह के Vs नेता
305,हाथी के दांत दिखाने के अलग और खाने के अलग मार्च को आप पंजाब से बिल्कुल खत्म हो जाएगी
306,न अनुशासनन टीम भावनान नेता की कद्रन लोक लाज की परवाह। हम तो डूबेंगे सनमतुमको भी ले डूबेंगे।
307,Gadi Wala Aaya Ghar Se Kacchara Nikaal Will never get such a again गाड़ी वाला आया घर से कचरा निकाल ऐसा मौका फ़िर नहीं मिलेगा
308,जैसे दिल्ली का बेड़ा गर्क कर दिया अब को नशे में डुबोने की तैयारी एक का नामांकन पंजाब की जनता संभल जाओ
309,किसी ने सही कहा है कि किसी को निकम्मा बनाना है तो उसे फ़्री में देना सुरु कर दो। इस देश की राजनीतिक पार्टी ने ये काम सुरु कर दिया हैं। अभी राज्य की जनता को चयन करना है निकम्मा या आतमनिर्भर
310,देखना है हमको पंजाब सूखे नशे का भी पता चल जाएगा आउल बाबा के
311,फ़क़ीर कब से जान बचने पे लोगों का धन्यवाद करने लग पड़े फ़क़ीरों को तो जान जाने का कोई ग़म और दुःख नही होता क्यूँकि वो इन सब बातों से ऊपर उठकर सोचते हैं । यह नक़ली फ़क़ीर होगा फिर कोई अब मुझे कोई अण्डभक्त किसी पार्टी से ना जोड़े
312,में Kejriwal खुलकर खालिस्तान का सपोर्ट कर रहा था। में केजरीवाल Khalistan का सपोर्ट कर रहा है ले भी रहा है लेकिन जनता के सामने नही।
313,पिछली बार चवन्नी वाराणसी कब गए थे
314,आपके बेटे बेटियाँ नौकरी की माँग करते सड़क पर प्रदर्शन करते डंडे खा रहे हैं उनके रिश्तेदार करोड़ों का क़र्ज़ उठाकर देश छोड़कर भाग रहे हैं
315,मै इस बजट का कड़े शब्दो में निंदा करता हूँ उसमे गांधी परिवार के लिए कुछ भी नहीं है
316,किसी दलित समाज से ऑटो चालक के घर ने क्यों नहीं खाया क्यूंकि उच्च धर्म के लोग नाराज़ ना हो जाएं
317,खालिस्तानी समर्थकों का AAP को समर्थन कैप्टन अमरिंदर पूर्व सीएम पंजाब अन्य Videos यहां देखें
318,के मालिक द्वारा प्रायोजित दिल्ली दंगों को देखकर पंजाब की जनता जागरूक होकर अपना भविष्य तलाशें। दंगाइयों को ठुकराएंगे।
319,के बाद नवजोत सिद्धू एक बार फिर जीरो पर आउट। चन्नी होंगे मुख्यमंत्री का चेहरा।
320,खालिस्तान का पहला पीएम बनना चाहते थे केजरीवाल कुमार विश्वास का बड़ा खुलासा
321,तिरंगा यात्रा में आए अरविंद केजरीवाल हरसिमरत कौर ने कहा चुनाव में झूठ वादे करने आए हो
322,पंजाब के भाइयों इस आदमी को सत्ता मिली तो तबाही मचा देगा
323,ही आप की पहचान। पंजाब जरूर रखेगाइस बात का ख़ाश ध्यान।
324,जितनी मर्ज़ी बकवास कर ले पांधी इस बार आएगी आप की आँधी ।
325,छुपा काँग्रेसी तेरी दुकान बंद होणे वाली है मार्च को
326,
327,अरविंद केजरीवाल को कुमार विश्वास को बताया खालिस्तानी समर्थक सियासी बयानबाजी शुरु
328,राघव चड्ढा चोर है AAP के पंजाब सहप्रभारी पर टिकट बँटवारे में भेदभाव का आरोप लगाते हुए जमकर हंगामा चले लातघूँसे In the name of donation tickets will be sold Top leaders of AAP will take home half
329,झूठा केजरीवाल
330,केजरीवाल ने देश का भविष्य बिगाडा है उसमे आण्णा ने और RSS ने उनका साथ दिया है केजरीवाल की फंडींग राष्ट्रविरोधी तत्वोसे आती है यह समझना होगा पंजाबी जनता को देश की तरह पंजाब को भी २०१४ के बाद का भारत मत बनाईएगा
331,जूते चप्पल थप्पड़ केजरीवाल की में आम बात है
332,उनके पास पाकिस्तान है बांग्लादेश हैOICहैकांग्रेस हैसपा हैPDP हैAAP TMC हैPFI हैDMK हैCPI हैAMIMहै।तुम्हारे पास क्या है इस लिए सोच समझकर ही बटन दबाएं। सिर्फ कमल पर बटन दबाएं
333,यह नहीं बोलेंगा कि वो खालिस्तानियों का विरोध करता हैं अगर वह ऐसा करता हैं तो उनमें इन्वेस्ट करने वाले लोग नाराज़ हो जाएँगे कुमार विश्वास
334,जीवन पहली बार विधायकों के सहयोग से मुख्यमंत्री बने को आज विधायकसांसद कचरे नजर आते गिरगिटी रंग
335,केजरीवाल एंड कंपनी अपने स्पोर्ट्स का आर्टिकल छपवा कर काट रहे और मासूम स्पोर्ट्स लगे हुए हैं कटवाने में।
336,Punjab Elections जो आतंकी के घर में रहकर सोता है वह पंजाब को कैसे बचाएगा राहुल गांधी By
337,नवजोत सिंह सिद्धू कहा कैप्टन मुझे ज़लील करना चाहते थे
338,मैं भाजपा बोलूं तुम बलात्कारी समझ लेना
339,खालिस्तान के प्रधानमंत्री बनना चाहते थे केजरीवाल कुमार विश्वास ने केजरीवाल की खोली पोल
340,सपा को ये गुमान और गलतफहमी हो गई कि मौलाना मुलायम के बाद मुफ्ती अखिलेश अगर मुसलमानों को रिझाना चाहते हैं तो जिन्नाजिन्ना करना पड़ेगा प्रवक्ता
341,जी आपकी मक्कारी में कुछ पंक्तियां अर्ज़ करता हु मुस्कुराहटे चेहरो पर और दिल मे दगा है बातो के धनी है खाली इनकी जेब है अजीब है ये झूठे इंसान जो इधरउधर घूमते है समझते है जिसे ये खासियत अपनी वही इनका ऐब है।
342,नवजोत सिंह सिद्धू को कैबिनेट मंत्री बनाने के लिए मुझे पाकिस्तान के प्रधानमंत्री इमरान खान ने मैसेज भेजा था कैप्टन अमरिंदर सिंह
343,सिंगर सिद्धू मूसेवाला कट्टर भिंडरावाले समर्थक और खालिस्तानी परस्त आज कांग्रेस में शामिल हुआ है और कुछ पूछना बाक़ी है
344,ABP EXCLUSIVE Navjot Sidhu का Amarinder Singh पर हमला कहा कप्तान खुद माफिया थे हिस्सा लेते थे इसलिए निकाला गया
345,पंजाब वाले Donkey लगवा कर Usa Canada जाते है से लाख खर्च होते है वहां इनको शरणार्थी कैम्प में रखा जाता है साल से पहले PR मिलती है ये भारत को बदनाम करते है Donkey वाला system ही बन्द करवाओ। इनको अक्ल आ जायेगी
346,Punjab Election Modi और Kejriwal पर तंज कसते हुए Priyanka Gandhi ने कहा पगड़ी पहनने से कोई नहीं बन जाता सरदार
347,CM चन्नी और सिद्धू ने पंजाब को तमाशा बना दिया
348,आतंकवादी रोड पर खड़ा होकर मुफ्त शिक्षा मुफ्त स्वास्थ्य सुविधा रोजगार के अवसर x बिजली साफ पानी बेहतर खेती सबको सुरक्षा इन मुद्दों के लिए वोट नही मांगता
349,या तो पंजाब का CM बनूँगा या स्वतंत्र देश खालिस्तान का पहला PM केजरीवाल कुमार विश्वास का खुलासा
350,के अनुसार पाकिस्तान हमारे देश भारत से अच्छा है। पाकिस्तान के लोग पंजाबी लोगो से ज्यादा अच्छे हैं।
351,has been a blessing for the right reasons सारे नंगे एक ही जगह मिल गये
352,बेबी चड्डा स्टेटमैंट दे रहा था जाखड़ साहब को हिन्दू होने की वजह से अपमानित किया जा रहा है ओर मानसिक बीमार आपिये कहते है हम दिल्ली के स्कूल हॉस्पिटल पर लड़ रहे है मोदी भक्त की तरह केजरिलोल भक्तो की एक नई जमात पैदा हुई है
353,जिन्हें मोदी से डर लगता है वो ही प्रधानमंत्री और देश के खिलाफ षड्यंत्र करते हैं।
354,पप्पू ने थामी चन्नी की कन्नी सिद्धू का दिल हुआ छलनीछलनी ठोको ताली
355,मुंह छुपा के ही जियो मुंह लटका के जियो मुंह मे रखकर जियो ये सब न करियो तो फिर पंजाब से भाग कर जियो।
356,कांग्रेस का हाथ खालिस्तानीयों के साथ
357,राहुल ने थामी चन्नी की कन्नी सिद्धू का दिल हुआ छलनीछलनी
358,केजरीवाल के झूठे वादों में मत आना वोट भाजपा को ही देना।
359,पंजाब के मुख्यमंत्री चन्नी कह रहे है पंजाब मे युपी बिहार वालो को घुसने नही दिया जाएगा और प्रियंका वाड्रा इनके समर्थन मे ताली बजा रही।युपी कि जनता इन नकली गांधीयो का अमेठी की तरह इसबार रायबरेली से भी बिदाई कर देगी।
360,अगर एग्जिट पोल के नतीजे सच निकलें तो मतलब साफ हैं में नशाखोरी चर्म पर हैं और में वालों ने खुद के साथ घिनौना मजाक कर लिया हैं
361,बुढ़ापा पेंशन के साथ जो आपने बुजुर्ग लोगो को देने का ऐलान किया था उसका क्या बना तुन्हारा cm तो एलानजीवी निकला सच में
362,पंजाब वालों यह रहा आपका होने वाला सीएम
363,भाजपा को भगाओ और देश को बचाओ नहीं तो देश के अंदर बचा कुछा भी बेच कर खा जाएंगे
364,Navjot Sidhu का पाकिस्तान प्रेम देश की आंतरिक सुरक्षा के लिए बेहद चिंताजनक
365,साइकिल को आतंकवाद से जोड़ दिया मोदी साहब ने लगता हैं तीसरे चरण का झटका जोर से लगा होगा
366,दिल्ली में गाली देने वाले वोट के लिए पंजाब में गले लगा रहे हैं।
367,मैं कभी CM रेस में नहीं था देश के सबसे बड़े सेक्युलर लीडर हैं पंजाब का CM एक सिख चेहरा ही होगा श्री जी ।। मेरा जूता निकालो रे किधर गया केजू सरपंच
368,और तो और अपने बूथ पर जाकर EVM में कमल निशान को देख कर भड़क गया और कमल पर अंगूठा दे मारा।
369,भगवंत मान जी हिन्दू नहीँ है क्या अगर जी हिन्दू नहीँ सरदार है तो आम आदमी पार्टी ने किसी हिन्दू को अपना उम्मीदवार क्यो नहीँ बनाया
370,Shameful जो अपनी माँ का ना हुआ वो देश का और पंजाब का कैसे होगा
371,सिद्धू जी को सिद्धू के अलावा कोई स्वीकार नहीं। ऐसा सिद्धू जी को स्वयं सिद्धू जी ने कहा है
372,कांग्रेस को बूथ पर ज्यादा मेहनत करनी चाहिए क्योंकि अगर बहुमत से सीट भी कम पड़ गई तो भाजपा अकाली AAP अमरिंदर सब मिल बैठेंगे
373,विपक्ष दिनरात सरकार के विरुद्ध झूठ का प्रोपेगैंडा चलाता रहता है लेकिन जब राष्ट्रवादी बुद्धिजीवी वर्ग विपक्ष के कुकर्मों का सत्य उजागर करने लगता है तो विपक्ष को मिर्ची लग जाती है ।
374,यूपीबिहार के भइये फटकने नहीं देना CM चन्नी पंजाब में बो रहे थे जहर प्रियंका गाँधी हँसते हुए बजा रहीं थी ताली
375,में में बनना था क्रांतिकारी बन गए विनाशकारी
376,उसको तो कतई CM का टिकट नहीं देंगे जिसने उन्हें पप्पू की ख्याति दिलवाई और अगर फिर भी दे दिया तो कसम से तुम पप्पू कहलाने के ही लायक हो
377,मार्च भाजपा साफ
378,भगवंत मान को वोट देना मतलब फ्लाप फिल्म पर पैसे खराब करना इस मंहगाई के दौर में ऐसा कोई भी समझदार पंजाबी नहीं करेगा बलॉकबस्टर चन्नी वेखो
379,पंजा का इतना दहशत है कि पंजाब भी न बोला जा रहा मोदीजी से
380,Congress और BJP ने हमेशा से जनता को धोखा दिया है। पहले Chandigarh MC election में दिखा अब Punjab में दिखने लगा है।
381,भाजपा हारेगी तो नफरत हारेगी और नफरत हारेगी तो देश जीतेगा। भाजपा को हराना है नफरत को मिटाना है देश बचाना है।
382,तो आंदोलनकारी है कुमार विश्वास को राज्यसभा सीट नहीं मिली इसलिए ये सब रोड़ा कर रहे हैं
383,सिद्धु क्रिकेटर था चौके छक्के मारता था ने उसको फ़ुटबॉल बना डाला ठोको ताली
384,अरविंद की है खूबी जिसने जनता की जेब है खूब लूटी। कुछ कहना चाहेंगे जी
385,आज वोट से करो कमाल खालिस्तानीजिन्नाआतंकवादी समर्थन वालों का मुँह कर दो लाल।
386,शिवराज सरकार में मंत्री गोविंद राजपूत की फिसली जुबान सभी राज्यों में कांग्रेस का बहुमत होगा और कांग्रेस की सरकार बनेगी पैग ज्यादा हो गए
387,शराब पीकर भारत के सबसे बड़े मंदिर जाने वाले को मुख्यमंत्री बनाकर पंजाब को नशा मुक्त करेगी
388,नेताओ पर ज्यादा विश्वास मत करना जो लोग से पहले अजमेर जाते थे आजकल वो अयोध्या मथुरा और काशी विश्वनाथ जाने लगे है।
389,कुछ लोग पंजाब में को नशा मुक्त करने की बात करते हैं ये लोग खुद गली मोहल्ले में शराब के ठेके खुलवाने के एक्सपर्ट हैं।
390,Sala kitna bhda harmkhor hai je sala modi ka kuta
391,भगवंत मान हजार वोटों से चुनाव हारेगा
392,सिद्धू मांबापबहन के नहीं हुए तो जनता के क्या होंगे NRI बड़ी बहन सुमन तूर ने ऐसे सवालों के मांगे जवाब
393,इस बार नवजोत सिंह सिद्धू का खेल कांग्रेस के ही लोग बिगड़ने में लगे हैं। पंजाब की सबसे हॉट सीट बनी अमृतसर ईस्ट पर सभी की निगाहें हैं। सिद्धू को अकाली दल के बिक्रम सिंह मजीठिया बड़ी टक्कर दे रहे हैं। चर्चा यह है कि गुरु इस बार पीछे चल रहे हैं।
394,Pappu गैंग का ये भी प्रोपेगैंडा काम नहीं आया कितना भी झूठ फैला लो आखिर में सच्चाई की जीत होती है
395,कांग्रेस पार्टी ने अली बाबा Capt Amrinder तो निकाल दिया बाकी चोर तो वहीं है
396,हास्य कवि हैं seriously मत लो की जनता एक बात याद रखो हास्य कलाकार हैं और शराबी भी नषामुक्ति की बात seriously मत ले लेना
397,चन्नी ही चेहरा है ठोको ताली
398,After सब मिले हुए हैं जी now came up with new slogan सब मुझे गाली देते हैं जी आखिरकार गालियाँ सुनने का मिल ही गया । बाकी सब करें गालियों का विकास ।
399,इंदिरा ठोक दी मोदी क्या चीज़ है धमकी को सच करने की थी योजना
400,एक चुनावी रैली ही तो कैंसिल हुई है दिल पर मत लो साहब आप भी इधर हो किसान भी इधर हैं अफसौस है तो शहीद किसानों का जो आज यहाँ नहीं हैं दो और किसानों से दिल से माफी मांगो है
401,कल तक कहता था इस बार लॉलीपॉप से सरकार नहीं बनेगी सरकार की कमाई हज़ार करोड़ की कमिटेड खर्चे हज़ार करोड़ के बाकी बचा बाबा जी का ठुल्लू तो जो अब एक लाख सलाना लॉलीपॉप की घोषणा की है वह कहां से आएंगे
402,बाबा का बुलडोज़र इस बार के चुनाव का सबसे बड़ा मुद्दा है राकेश त्रिपाठी BJP
403,ड्रग्स केस में घिरे मजीठिया पर हरसिमरत का बड़ा बयानबोलीं भाई ने सुई जितना नशा बेचा या तस्करी की हो तो उसका कुछ न बचे
404,बताओ सिद्धू भी बोल रहा है बदलाव के लिए वोट करे।
405,पंजाबी अगर आप बार बार मूर्ख बनना चाहते हैं और जीवन भर लुटना चाहते हैं तो ठकोसले बाज पार्टी को वोट करें। अगर अच्छा भविष्य चाहते हैं तो आप पार्टी को पर वोट करें। सोचे समझे और वोट करें।
406,जी ने २०० मीटर के radius में दारू के ठेके खुलवा दिए है पंजाब को दिल्ली नहीं मगर दिल्ली को पंजाब बनाने की पूरी कोशिश कर रहे है आप आप कुछ कीजिए भैया
407,तुम कितने हमले करवाओगे हर घर से मोदी निकलेगा ।
408,केजरीवाल हां या ना में जवाब देंगे क्या केजरीवाल खालिस्तान के साथ हैं केजरीवाल प्रधानमंत्री बनना चाहते हैं देखिए शाम बजे सिर्फ इंडिया टीवी पर
409,क्या अरविंद केजरीवाल स्वीट आतंकवादी हैं क्या कुमार विश्वास ने केजरीवाल पर कॉमडी की पंजाब में केजरीवाल को नफा होगा या नुकसान देखिए शाम बजे सिर्फ इंडिया टीवी पर
410,अमित शाह ने कहा कि कांग्रेस मुस्लिम यूनिवर्सिटी के बहाने उत्तराखंड के पहाड़ों में रोहिंग्या मुसलमानों को घुसाने की साजिश कर रही है
411,जनवरी प्रधानमंत्री ने पहनी उत्तराखंड की टोपी अब उत्तराखंड के निवासियों को सचेत रहने की जरूरत है।
412,हिंदुत्व दो बार पाकिस्तान को घर में घुस कर पेल चूका है अभी XI जिन पिग की बारी है
413,उत्तराखंड के दिल्ली में बैठे कुछ लोगों ने विचारधारा का ऐसे अफ़ीम चटा हुआ है कि जिस विचार धारा को वो support कर रहे होते हैं अपने फायदे के लिए वो सबसे सही हो जाती है। आज कल वो UKD की विचारधारा के तले बने हुए हैं।
